,title,topic,topic_keywords
174,PhD student bioengineers potato plant to detect gamma radiation,-1,
175,UK’s unique heat-capturing glass tubes are keeping US fishermen warm | Heating and cooling needs account for 50 percent of energy demand and using the Sun's heat directly is an effective to curb fossil fuel requirements.,15,"jet, class, 72, targets, ice, china, fastest, field, air, developed"
176,Scientists find way to wipe a cell's memory to better reprogram it as a stem cell,12,"3d, printing, 3d printing, printed, 3d printed, tissue, brain, skin, blades, researchers"
177,Spinal Stimulator's Gentle Zaps Help Treat Parkinson's,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
178,Airdropped spinning-seed-inspired sensors could monitor soil moisture,-1,
179,"Next-gen air conditioning: new electrocaloric material could replace harmful refrigerants | A new, performing solution to the issue of environmentally unfriendly air conditioning systems",-1,
180,FDA considers first CRISPR gene editing treatment that may cure sickle cell,7,"nuclear, fusion, built, student built, japan, medicine, plasma, reality, student, uk"
181,Jet powered by PW800 engines wraps transatlantic trip using 100% SAF | The aircraft engines ran on a sustainable aviation fuel comprising hydro-processed Esters and Fatty Acids.,1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
182,New device allows the brain to function independently from the body | The innovative system is known as extracorporeal pulsatile circulatory control (EPCC).,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
183,MIT tests new ingestible sensor that records your breathing through your intestines,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
184,"How tiny hinges bend the infection-spreading spikes of a coronavirus. Disabling those hinges could be a good strategy for designing vaccines and treatments against a broad range of coronavirus infections, including COVID-19.",7,"nuclear, fusion, built, student built, japan, medicine, plasma, reality, student, uk"
185,Running thousands of LLMs on one GPU is now possible with S-LoRA,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
186,"Scientists 3D print a robotic hand with human-like bones and tendons. As a layer is printed, an optical scan IDs flaws and corrects them in the next layer.",11,"non, non toxic, developed, developed new, electronics, toxic, sensors, quantum, new, getting"
187,Swallowable device tracking vital signs inside the body in human trial | The device is part of a growing field of ingestible devices that can perform various functions inside the body.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
188,Researchers use magnetic fields for non-invasive blood glucose monitoring,12,"3d, printing, 3d printing, printed, 3d printed, tissue, brain, skin, blades, researchers"
189,US surgeons perform world's first whole eye transplant,-1,
190,Why the Pentagon is spending billions to bring laser weapons to the battlefield,-1,
191,Speaker Chip Uses Ultrasound to Crack Volume Limits. This MEMS tech sounds ready to break out of the earbud niche.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
192,AWS ElastiCache — Redis/Java/Spring Boot,-1,
193,5 Tips to Optimize Your AWS Lambda Performance,-1,
194,"Trial Shows a Single Dose of an Experimental Therapy Reduces Lipoprotein(a), an Important Heart Disease Risk Factor, More than 94% for Nearly a Year",-1,
195,"A floating, solar-powered device that can turn contaminated water or seawater into clean hydrogen fuel and purified water, anywhere in the world, has been developed by researchers.",1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
196,Scientists show how to turn lunar soil fertile for agriculture,-1,
197,Safer P-CARE intravenous needle softens once inserted into body,13,"cell, diabetes, injections, type diabetes, home, daily, cells, device, type, implant"
198,"U.S. hits carbon tech milestone with first direct-air capture facility. A new facility will suck carbon dioxide from the air, showcasing the potential of a nascent industry that some say is crucial to fighting climate change.",-1,
199,Perovskite Solar Cells Double as Windows and Walls. Panasonic's semi-transparent panels could be on the market within 5 years.,-1,
200,Organic electronics mimic retinal neurons. The technology could one day be used to treat neurological disease or blindness.,-1,
201,New 'Cool' Ceramic Could Enhance Energy Efficiency in Construction Sector | A significant breakthrough in developing a passive radiative cooling (PRC) material has been announced.,15,"jet, class, 72, targets, ice, china, fastest, field, air, developed"
202,"Scientists have discovered what they say is the fastest and most efficient semiconductor yet. Although the new material is made using one of the rarest elements on Earth, the researchers suggest counterparts made from more abundant materials may be discovered that operate comparably fast.",4,"battery, ion, design, homes, grid, range, 000, school, mile, does"
203,Noise-canceling headphones could let you pick and choose the sounds you want to hear,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
204,Physicists trap electrons in a 3D crystal for the first time | The results open the door to exploring superconductivity and other exotic electronic states in three-dimensional materials.,5,"silicon, fastest, ibm, new, graphene, eventually, material, lead, electronics, develop"
205,"Wave-powered desalination machine filters 49,000 liters of water daily | The system is modular and multiple units can be put together to generate large quantities of desalinated water.",1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
206,"Spinal implant allows Parkinson’s patient to walk for miles | Before that, he was unable to walk without frequent falls.",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
207,"New flexible X-Ray detectors could revolutionize cancer treatment | The new material mimics human tissue under X-rays, allowing for more accurate and safer imaging of tumors, bones, and organs.",-1,
208,2cm long? Shape-shifting spider robot touted to be rescue game changer | Shape-changing robots may be the future of the robotics industry.,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
209,"New Plastic Biodegrades in Seawater, Self-Heals Under Heat | This stronger, stretchier, self-healing plastic can be processed into complex shapes and biodegrades in seawater.",8,"vaccines, gene, viruses, including, microscope, dna, treatment, range, cell, cancer"
210,"How Mark Rober's DNA Nerf Guns Could Lead to Medical Breakthroughs. Mark Rober explains his yearlong odyssey to break the record for world's smallest Nerf gun five times, culminating in ones made out of DNA.",-1,
211,Smartglasses Make Human Echolocation Possible,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
212,Revolutionary earbuds developed in Vancouver to dramatically change life for disabled.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
213,"Elon Musk debuts 'Grok' AI bot to rival ChatGPT, others",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
214,Magnetic Gel Can Help Wounds Heal Faster. The technique gives cells a gentle workout to promote cell growth and speed healing.,-1,
215,"Japan: World’s largest nuclear fusion reactor achieves first plasma | JT-60SA will also help ITER, the giant international fusion reactor that is being built in France, to demonstrate that fusion can produce more energy than it consumes.",6,"quantum, computer, physicists, photonic, kind, end, useful, chip, computing, 000"
216,This Pulsing DNA Nanomotor Can Power Molecular Machines. Scientists envision a tiny assembly line to build complex chemicals.,-1,
217,"Lab-on-a-Chip Accurately Identifies Viruses Within Three Minutes | Compact genetic testing device created for Covid-19 could be used to detect a range of pathogens, including cancer.",7,"nuclear, fusion, built, student built, japan, medicine, plasma, reality, student, uk"
218,Smart riot gun refuses to fire if aimed at someone's head,-1,
219,Medical University of South Carolina researchers partner with Emergency Medical Services to pilot test the first MRI-equipped ambulance to speed stroke response.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
220,"""Superatomic"" material beats silicon for fastest semiconductor ever",4,"battery, ion, design, homes, grid, range, 000, school, mile, does"
221,NYU is developing 3D streaming video tech with the help of its dance department,-1,
222,"This new waterproof, gel-free ECG sensor monitors heart health | This tiny ECG sensor promises to provide increased comfort while minimizing skin irritation.",-1,
223,A giant battery gives this new school bus a 300-mile range | The Type-D school bus uses a 387 kWh lithium iron phosphate battery.,3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
224,Engineers create a robotic eye-seeing dog to aid the visually impaired | The robot guide dog possesses the ability to respond to tugs on a leash.,-1,
225,"Safely removing nanoplastics from water using 'Prussian blue', a pigment used to dye jeans",8,"vaccines, gene, viruses, including, microscope, dna, treatment, range, cell, cancer"
226,Some deaf children in China can hear after gene treatment,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
227,"New laser enabled 3D-printing method makes steel more affordable | The process enables ""structural modifications to be ‘programmed’ into metal alloys during 3D printing.""",11,"non, non toxic, developed, developed new, electronics, toxic, sensors, quantum, new, getting"
228,Novel brain implant helps paralyzed woman speak using a digital avatar,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
229,New tiny radar could detect movements 1/100th the width of human hair,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
230,Ballistic multi-parachute system saves eVTOL in low-altitude fall,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
231,"Shape-shifting fiber can produce morphing fabrics. The low-cost FibeRobo, which is compatible with existing textile manufacturing techniques, could be used in adaptive performance wear or compression garments.",9,"bacteria, healing, self, seawater, elements, self healing, cornell, plastic, scientists, computers"
232,"A seemingly subtle swap of metals—substituting a zinc ion with a cobalt ion—and a mutation ramps up the overall electric field strength at the active site of an enzyme, scientists find. The result is a predictably modified enzyme that works an astonishing 50 times faster than its unmodified analog.",-1,
233,"The bright plumage of birds is often a feast for the eyes, but scientists have struggled to recreate the photonic nanostructures that generate those colors in the lab. Scientists have developed a method to efficiently engineer these intricate nanostructures through a form of phase separation.",-1,
234,"Researchers Develop Fastest Room-Temperature Semiconductor, Revolutionizing Electronics",4,"battery, ion, design, homes, grid, range, 000, school, mile, does"
235,"Underwater robot helps scientists gain clarity of Antarctic ice melting | ""Crevasses move water along the coastline of an ice shelf to an extent previously unknown, and in a way models did not predict.""",-1,
236,Water-injected 2.0-liter turbo-four hydrogen engine spits out 410 hp,1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
237,"UBC, Honda researchers develop robot arm with human skin-like sensors | ""As sensors continue to evolve to be more skin-like, there is a need for robots to be smarter. Developments in sensors and artificial intelligence will need to go hand in hand""",-1,
238,Three people were gene-edited in an effort to cure their HIV. The result is unknown. CRISPR is being used in an experimental effort to eliminate the virus that causes AIDS.,7,"nuclear, fusion, built, student built, japan, medicine, plasma, reality, student, uk"
239,Everdrone E2 launched to deliver life-saving medical equipment in minutes,-1,
240,New Training Method Helps AI Generalize like People Do,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
241,This Motorola smartphone can be bent to wrap around your wrist! What is it all about,9,"bacteria, healing, self, seawater, elements, self healing, cornell, plastic, scientists, computers"
242,Particle Accelerator on a Chip Hits Penny-Size,17,"heart, human, transplant, soon, artificial, potential, world, species, number, embryo"
243,Ukraine to deploy self-developed kamikaze robots against Russia | The robot has an operational range of little under four miles but can carry anti-tank mines and bombs and blow up strategic targets effectively.,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
244,The space-based drug factory that can’t come home. Orbiting lab pioneers space-made medicines—and the red tape needed to land.,-1,
245,This Augmented Reality Tool Could Change Communication for Some Deaf and Hearing Impaired People | TranscribeGlass attaches to any pair of glasses and projects real-time subtitles in the user’s field of vision,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
246,"New Nvidia AI agent, powered by GPT-4, can train robots",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
247,Scientists plan to melt moondust to make roads on the Moon,-1,
248,Has Your Fish Been Caught Sustainably? A New Scanner Can Tell You | A handheld scanner uses nuclear methods and mathematical models to determine the origin and production of seafood.,-1,
249,"Chemists, engineers craft adjustable arrays of microscopic lenses | Design could find use in soft robotics, liquid optics",-1,
250,Europe’s Tech Curbs Are a Double-Edged Sword - Has Europe given up on tech?,-1,
251,Researchers Develop Gel “Exercise” Mat for Muscle Cells | The vibrating platform could be useful for growing artificial muscles to power soft robots.,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
252,IBM's NorthPole chip runs AI-based image recognition 22 times faster than current chips,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
253,"Mr Sade is the founder of tech firm BloomX. The company has found a way to mechanically pollinate crops in a similar way to bees. ""We are not replacing bees... but rather, offering more efficient pollinating methods to farmers, and reducing the dependence on commercial honeybees,"" he says.",-1,
254,"New Patch Inspired by Octopus Suckers Could Deliver Drugs Without Needles. Medicine-filled suction cups attached to the inside of the cheek could be an effective alternative to oral tablets or injections, study finds.",13,"cell, diabetes, injections, type diabetes, home, daily, cells, device, type, implant"
255,"A new method of producing an ultra-bright light which breaks traditional laws of particle physics could potentially spark a technological revolution. The ultra-bright light, a form of ‘coherent light’, is created by particles moving in synchrony rather than independently.",17,"heart, human, transplant, soon, artificial, potential, world, species, number, embryo"
256,US Marines show off rocket launcher-carrying robot dog in demo video,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
257,A machine dubbed Scorpius is under construction that will use high explosives to crush plutonium to states that exist just prior to a nuclear explosion. The aim of the project is to check the accuracy of supercomputer models designed to predict whether the U.S.’ aging nuclear arsenal works.,6,"quantum, computer, physicists, photonic, kind, end, useful, chip, computing, 000"
258,"Superficial Brain Implant Could Have a Deep Impact. With wireless power from a wearable, brain stimulation could enter the home.",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
259,"Scientists craft energy-efficient AI chip inspired by the brain | Dubbed NorthPole, it excels in terms of performance, energy, and area efficiency.",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
260,"Whisper Aero unveils ultra-quiet electric leaf blower, powered by aerospace tech | TechCrunch",1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
261,‘Groundbreaking’ bionic arm that fuses with user’s skeleton and nerves could advance amputee care,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
262,10-second voice test shown to detect type 2 diabetes,-1,
263,"Stroke-Detecting Cap Could Diagnose Patients Before They Reach the Hospital | A special brain-wave cap can diagnose stroke in the ambulance, allowing the patient to receive appropriate treatment faster.",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
264,Wearable sensors provide early detection of progression in Parkinson’s Disease,-1,
265,"""Digital film roll"" brings analog cameras out of retirement",10,"wearable, clothing, fabrics, smartphone, liquid, smart, tech, micro, affordable, adaptive"
266,"Scientists invent superlensing microscope without a superlens | Instead of depending on a superlens, the team relied on a computer to remove low-resolution data during post-processing.",-1,
267,A spectacular superconductor claim is making news. Experts are doubtful,5,"silicon, fastest, ibm, new, graphene, eventually, material, lead, electronics, develop"
268,"Student-built solar car survives Sahara, travels 620 miles in a first | The successful achievement should inspire legacy car makers to become bolder with their vision of eco-friendly vehicles, says the team.",1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
269,Figure's humanoid is already walking and performing autonomous tasks,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
270,Bricklaying robots can now build tennis-court-sized walls in 4 hours,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
271,Consortium runs world's first hydrogen-powered gas turbine,1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
272,Scientists Have Created Synthetic Sponges That Soak Up Microplastics,8,"vaccines, gene, viruses, including, microscope, dna, treatment, range, cell, cancer"
273,Adobe's latest wearable tech promises dynamic clothing that can change at the push of a button,9,"bacteria, healing, self, seawater, elements, self healing, cornell, plastic, scientists, computers"
274,"New Synthetic Horseshoe Crab Blood Could Mean Pharma Won’t Bleed the Species Dry. The “living fossils” have been vital for testing intravenous drugs, but a few large pharmaceutical companies are using a lab-made compound instead.",13,"cell, diabetes, injections, type diabetes, home, daily, cells, device, type, implant"
275,‘Instant Evolution': AI Creates a Squishy Purple Blob That Uses Air to Walk,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
276,Canon challenges ASML supremacy in chip manufacturing with a new nanoimprint lithography system | A machine with reduced power consumption to make 5nm-node semiconductors,4,"battery, ion, design, homes, grid, range, 000, school, mile, does"
277,Woman's Experimental Bionic Hand Passes Major Test With Flying Colors,-1,
278,Unraveling Quantum Secrets: Physicists Bridge Two Quantum Worlds,5,"silicon, fastest, ibm, new, graphene, eventually, material, lead, electronics, develop"
279,Researchers have made key discoveries to build vocal reconstruction technology that recreates the voices of patients who have lost their ability to speak.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
280,This Robot Could Be the Key to Helping People With Disabilities,-1,
281,"Groundbreaking achievement as bionic hand merges with user’s nervous and skeletal systems, remaining functional after years of daily use",-1,
282,Battery experts at The University of Texas at Austin have shed new light on crack formation in EV battery electrodes. This is a critical issue facing battery components commonly used in electric vehicles.,3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
283,Rugby players to wear mouthguards that detect head injuries | The smart technology can identify concussions early.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
284,Plasma tech transforms blue-green algae into a wound-healing wonder,8,"vaccines, gene, viruses, including, microscope, dna, treatment, range, cell, cancer"
285,MIT device could free those with type 1 diabetes from insulin injections and pumps | A living medical device made from human cells with its own life-support system,12,"3d, printing, 3d printing, printed, 3d printed, tissue, brain, skin, blades, researchers"
286,Cornell scientists have characterized the genome of Shewanella oneidensis – a metal-loving bacteria with an affinity for rare earth elements – to replace the harsh chemical processing with a benign practice called biosorption.,8,"vaccines, gene, viruses, including, microscope, dna, treatment, range, cell, cancer"
287,3D Printing Technique Shows Promise for Brain Injury Repair | A breakthrough technique using 3D printing could one day provide tailored repairs for those who suffer brain injuries.,11,"non, non toxic, developed, developed new, electronics, toxic, sensors, quantum, new, getting"
288,Waymo-Zeekr robotaxi poised for US testing by end of 2023,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
289,"Revolutionary X-ray microscope unveils sound waves deep within crystals. Scientists developed a groundbreaking technology that allows them to see sound waves and microscopic defects inside crystals, promising insights that connect ultrafast atomic motion to large-scale macroscopic behaviors.",17,"heart, human, transplant, soon, artificial, potential, world, species, number, embryo"
290,Arizona State Students Develop a Solar-Powered Air Filtration System. The units are benefiting Nomadic people in Mongolia.,1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
291,New Ukrainian nanotech 'cloak' can hide people from drones | An unnamed Ukrainian scientist has allegedly developed a new material that can mask heat signatures of troops and gear from Russian drones.,10,"wearable, clothing, fabrics, smartphone, liquid, smart, tech, micro, affordable, adaptive"
292,Is it really 100% cotton? Smartphone-sized device can analyze fabrics,9,"bacteria, healing, self, seawater, elements, self healing, cornell, plastic, scientists, computers"
293,Give your wireless network a tinfoil hat! Scientists figure out how to shape Wi-Fi signal strength using 3D-printed (or even cardboard) shapes wrapped in aluminum foil,-1,
294,Space Force approves funding for nuclear fission-powered spacecraft,6,"quantum, computer, physicists, photonic, kind, end, useful, chip, computing, 000"
295,Researchers Develop Bioprinted Full Thickness Human Skin | Bioprinted skin grafts could offer a promising alternative to autologous skin grafting.,11,"non, non toxic, developed, developed new, electronics, toxic, sensors, quantum, new, getting"
296,Archax is a $2.7 million pilotable robot for the ultra-wealthy | Japanese startup Tsubame has 5 units up for preorder.,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
297,"Print-on-demand for US Navy ship parts is now a thing | In collaboration with HLL and General Dynamics Electric Boat, the U.S. Navy has successfully 3D printed and installed a crucial piece of one of its nuclear submarines.",11,"non, non toxic, developed, developed new, electronics, toxic, sensors, quantum, new, getting"
298,"These solar-powered, origami-inspired robots can change shape mid-flight.",2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
299,SoftBank CEO Son says artificial general intelligence will come within 10 years,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
300,"Researchers develop novel liquid metal circuits for flexible, self-healing wearables",9,"bacteria, healing, self, seawater, elements, self healing, cornell, plastic, scientists, computers"
301,"BAE T-600 drone makes history by dropping a torpedo in a world-first | Jointly developed by BAE Systems and Malloy Aeronautics, a T-600 heavy lift drone has been used to carry and deploy an anti-submarine torpedo for the first time.",14,"drugs, body, lower, filled, patch, blood, push, deliver, inspired, ultrasound"
302,How AI and brain science are helping perfumiers create fragrances,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
303,This robotic exoskeleton can help runners sprint faster,-1,
304,This octopus-inspired patch could deliver drugs like Ozempic through your cheek | Small rubber suction cups filled with medication were better than tablets at delivering compounds into the bloodstream.,13,"cell, diabetes, injections, type diabetes, home, daily, cells, device, type, implant"
305,"Scientists develop gel from spider venom to boost erections | One of the key advantages of this treatment is its topical application, which can expedite approval processes thanks to lower risks of adverse effects.",13,"cell, diabetes, injections, type diabetes, home, daily, cells, device, type, implant"
306,The ARC nerve-stimulation system could help quadriplegic patients move their arms again,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
307,Artificial wombs for premature babies might soon begin human trials. An FDA panel discussed the new technology—tested only on animals so far—along with its risks and potential to improve survival of preterm infants.,16,"heat, cooling, material, energy, developing, exposure, extreme, temperatures, 50, effective"
308,We try out the first legal level 3 automated driving system in the US,-1,
309,NASA battery tech to deliver for the grid. A battery built for satellites brings grid-scale storage down to Earth.,3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
310,Light therapy helps the brain clear out toxic Alzheimer’s proteins,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
311,Watery material makes windows selectively block light and/or heat,-1,
312,"The practical power of fusing photons. Changing the color of light supercharges solar energy, 3D printing, and night vision",-1,
313,"Researchers have focused on the moisture present in the air as a potential source of drinking water. In research published PNSA, they reached a breakthrough to create drinkable water out of thin air: a molecularly engineered hydrogel that can create clean water using just the energy from sunlight.",1,"brain, ai, people, head, new, implant, help, device, tech, ultrasound"
314,How inverse vaccines might tackle diseases like multiple sclerosis,7,"nuclear, fusion, built, student built, japan, medicine, plasma, reality, student, uk"
315,University of Maryland Medical Center performs second pig-to-human heart transplant,16,"heat, cooling, material, energy, developing, exposure, extreme, temperatures, 50, effective"
316,Bionic silkworms with spider genes spin fibers 6x tougher than Kevlar,-1,
317,"This $90,000 fireproof tankbot will scout burning buildings for people to save | The robot can withstand temperatures as high as 650 degrees Celsius.",2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
318,Noise-canceling robots to 'mute' loud conversations in cafe | The smart speaker uses advanced deep-learning algorithms to detect loud locations in a room.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
319,"Project Gutenberg releases 5,000 free audiobooks using neural text-to-speech technology | Eventually, anyone might be able to listen to an audiobook in their own voice",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
320,Intel's glass substrate promises 1T transistors by 2030 | Intel is trying to keep up with the exploding demand for new computing horsepower.,4,"battery, ion, design, homes, grid, range, 000, school, mile, does"
321,"SLAC fires up the world’s most powerful X-ray laser. With up to a million X-ray flashes per second, 8,000x more than its predecessor, it transforms the ability of scientists to explore atomic-scale, ultrafast phenomena that are key to a broad range of applications.",17,"heart, human, transplant, soon, artificial, potential, world, species, number, embryo"
322,See-Through Sensors Hide Eye-Tracking in Plain Sight | Graphene and quantum dots turn electronics transparent,10,"wearable, clothing, fabrics, smartphone, liquid, smart, tech, micro, affordable, adaptive"
323,Soft Robot Walks by Repeatedly Blowing Itself Up Rapid explosive actuation powers this insect-scale robot’s jumps,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
324,"UC chemists develop a battery without water that can generate nearly 4 volts of power. The design does so without a membrane-separator, which are among the priciest parts of these kinds of batteries. “We developed a new type of energy storage material that improves performance at a lower cost.”",3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
325,This insect-sized robot can carry 22 times its own weight | The four-legged miniature machine is powered by tiny explosions.,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
326,Student-built nuclear fusion reactor to debut in Australia | The student-built Tokamak reactor will be 3 X 3 feet in size and be the first such facility built for nuclear fusion in a university,6,"quantum, computer, physicists, photonic, kind, end, useful, chip, computing, 000"
327,CubeSat rocket thruster is so small it has to be made like microchips | This tiny fingernail-length space thruster chip runs on the greenest propellant of all: water.,-1,
328,"Human trials of artificial wombs could start soon. US regulators will consider the first clinical trials of a system that mimics the womb, which could reduce deaths and disability for babies born extremely preterm.",16,"heat, cooling, material, energy, developing, exposure, extreme, temperatures, 50, effective"
329,This driverless car company is using chatbots to make its vehicles smarter.,-1,
330,Computer vision’ reveals unprecedented physical and chemical details of how a lithium-ion battery works. It lets researchers extract pixel-by-pixel information from nanoscale X-ray movies of electrode particles absorbing and releasing lithium ions.,3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
331,How software that tracks covid variants could protect us against future outbreaks,7,"nuclear, fusion, built, student built, japan, medicine, plasma, reality, student, uk"
332,Physicists Create Powerful Magnets To De-Freeze Quantum Computing | The magnetic quantum computing material can function at room temperature.,5,"silicon, fastest, ibm, new, graphene, eventually, material, lead, electronics, develop"
333,NASA generates enough oxygen on Mars for a small dog to breathe for ten hours,-1,
334,Virus-searing gloves may one day replace disposables,7,"nuclear, fusion, built, student built, japan, medicine, plasma, reality, student, uk"
335,Ag tech can cut billions of tons of greenhouse gas emissions.,-1,
336,"'Radio quiet' boxes will now power world's largest telescope | Engineers have designed and built the first set of 24 Small Modular Aggregation RFoF Trunk, or SMART boxes.",18,"ray, 10, laser, bright, ultrafast, waves, photons, crystals, atomic, sound waves"
337,"Food fraud can cost as much as $40 billion a year. To fight it, food makers are turning to microchips. The silicon chips are smaller than a grain of sand & cost at a few cents apiece. They are made by p-Chip & use blockchain technology to trace products all the way from growers to grocery shelves.",-1,
338,Electronic Nose 'Smells' Wildfires for Ultra-Early Detection,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
339,A Japanese city is installing robots in classrooms so kids who are worried about attending school can tune in remotely,2,"fuel, hydrogen, water, power, powered, clean, solar, generate, researchers, energy"
340,This USC Professor Alice Parker is working on how to mimic disorders such as schizophrenia. Parker is currently helping to develop an artificial brain that can replicate the functions of neural mechanisms believed to be important for learning and memory.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
341,"Scientists grow whole model of human embryo, without sperm or egg",-1,
342,"US govt. invests $22 million in smart surveillance clothing | The active smart textiles can record audio, video and geolocation data.",9,"bacteria, healing, self, seawater, elements, self healing, cornell, plastic, scientists, computers"
343,Scientists Cryopreserve and Revive Coral Fragments in a World First for Conservation. The new freezing technique could reinvigorate corals suffering from warming oceans—or even preserve human organs in the future.,8,"vaccines, gene, viruses, including, microscope, dna, treatment, range, cell, cancer"
344,"The Ukraine War has accelerated research into lithium-ion battery alternatives, including ones made of sand",3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
345,"Blamed for fouling the environment, polyester may help save it. A team from Cornell has created a way to break down old polyester clothing & reuse some of its compounds to make fabrics that are fire resistant, anti-bacterial or wrinkle-free – & halt the proliferation of garment waste in landfills.",-1,
346,Drug-delivery implant thwarts scar tissue by being a moving target,13,"cell, diabetes, injections, type diabetes, home, daily, cells, device, type, implant"
347,Scientists use processed coffee grounds to make stronger concrete,-1,
348,A biotech company says it put dopamine-making cells into people’s brains,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
349,"For the first time, AI dominates humanity's best in a real-world sport",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
350,New bioink promotes growth & regeneration of 3D-printed muscle tissue,11,"non, non toxic, developed, developed new, electronics, toxic, sensors, quantum, new, getting"
351,Quantum computer reveals chemical reaction in 100-billionth-speed slow-mo,5,"silicon, fastest, ibm, new, graphene, eventually, material, lead, electronics, develop"
352,Technique shows how abnormal RNA splicing leads to disease,7,"nuclear, fusion, built, student built, japan, medicine, plasma, reality, student, uk"
353,Scientists Treat Severe Injuries in One Eye With Stem Cells From the Other,-1,
354,This startup has engineered a clever way to reuse waste heat from cloud computing. Heata is now using these busy servers to heat water for homes.,15,"jet, class, 72, targets, ice, china, fastest, field, air, developed"
355,Smart contact lens battery charged by human tears | The battery can be charged for up to 200 cycles and does not contain wires or toxic heavy metals.,3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
356,All-in-one gadget sees the invisible to accurately spot problem wounds,-1,
357,This Universal Charger Could Simplify the EV Landscape. The charger can top up any EV battery between 120 and 900 volts,3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
